,|Random - One-unseen|,|Random - Both-unseen|,|One-unseen - Both-unseen|,expname,X
twosides,0.15503732767628026,0.2002514794861486,0.04521415180986835,ref,10
drugbank,0.31925737309514735,0.6079525675086869,0.2886951944135395,ref,10
twosides,0.08046326035915799,0.10995599762269237,0.02949273726353438,Rand. SMILES,10
drugbank,0.29248510504934533,0.5377598602482111,0.24527475519886577,Rand. SMILES,10
twosides,0.15503732767628026,0.2002514794861486,0.04521415180986835,ref,20
drugbank,0.31925737309514735,0.6079525675086869,0.2886951944135395,ref,20
twosides,0.03894513275740266,0.06785965196463845,0.028914519207235784,Rand. SMILES,20
drugbank,0.2714947148621375,0.5039466194766771,0.23245190461453957,Rand. SMILES,20
twosides,0.15503732767628026,0.2002514794861486,0.04521415180986835,ref,40
drugbank,0.31925737309514735,0.6079525675086869,0.2886951944135395,ref,40
twosides,0.09247018338086996,0.12682627397498575,0.03435609059411579,Rand. SMILES,40
drugbank,0.2451581913976556,0.45174437879727275,0.20658618739961715,Rand. SMILES,40
twosides,0.15503732767628026,0.2002514794861486,0.04521415180986835,ref,80
drugbank,0.31925737309514735,0.6079525675086869,0.2886951944135395,ref,80
twosides,0.054608715977538275,0.08232609824679862,0.02771738226926035,Rand. SMILES,80
drugbank,0.22686546014195047,0.4159341844937097,0.18906872435175925,Rand. SMILES,80
twosides,0.15503732767628026,0.2002514794861486,0.04521415180986835,ref,100
drugbank,0.31925737309514735,0.6079525675086869,0.2886951944135395,ref,100
twosides,0.09547956587355402,0.11616998175845322,0.0206904158848992,Rand. SMILES,100
drugbank,0.2577668850810367,0.4278807478715559,0.1701138627905192,Rand. SMILES,100
