test_fold,model_name,split_mode,micro_roc,micro_auprc
0,CNN,leave_drugs_out (test_set 1),0.7477519614641044,0.22494879733794226
0,CNN,random,0.7929018649120464,0.22713729693861465
0,DeepDDI,leave_drugs_out (test_set 1),0.7689024584431416,0.2392271598047503
0,DeepDDI,random,0.7774022846955543,0.22323923920300187
0,MolGraph + LaPool+ attention,leave_drugs_out (test_set 1),0.7705976780970922,0.2391884492492364
0,MolGraph + LaPool+ attention,random,0.7905101966108808,0.24956091648245415
1,CNN,leave_drugs_out (test_set 1),0.8128031457118966,0.2772429486761478
1,CNN,random,0.8174425952654409,0.32390474052025525
1,DeepDDI,leave_drugs_out (test_set 1),0.7854662033827506,0.2507930104690137
1,DeepDDI,random,0.7678940479763026,0.24645077480262284
1,MolGraph + LaPool+ attention,leave_drugs_out (test_set 1),0.7790163963040034,0.2368296853082565
1,MolGraph + LaPool+ attention,random,0.8108105830306235,0.3190870712737133
2,CNN,leave_drugs_out (test_set 1),0.7998056687630559,0.2793265491803325
2,CNN,random,0.8451507021989378,0.31473714330126656
2,DeepDDI,leave_drugs_out (test_set 1),0.7825154470221297,0.2483853188699704
2,DeepDDI,random,0.783764026962102,0.21310432982956326
2,MolGraph + LaPool+ attention,leave_drugs_out (test_set 1),0.7828073775643476,0.2409921989427243
2,MolGraph + LaPool+ attention,random,0.8484429345256214,0.32406289985313114
3,CNN,leave_drugs_out (test_set 1),0.7870169541618428,0.2608571736562477
3,CNN,random,0.8576667413351736,0.3902336599263093
3,DeepDDI,leave_drugs_out (test_set 1),0.7636530384707224,0.23052032811607806
3,DeepDDI,random,0.8008763795437549,0.28242605593235176
3,MolGraph + LaPool+ attention,leave_drugs_out (test_set 1),0.7746737194552071,0.23614420372981626
3,MolGraph + LaPool+ attention,random,0.8592708423019205,0.3923212613955952
4,CNN,leave_drugs_out (test_set 1),0.7854014478159231,0.25674338523060464
4,CNN,random,0.8487233394955238,0.32412694298376216
4,DeepDDI,leave_drugs_out (test_set 1),0.7805795094939075,0.24615754774846896
4,DeepDDI,random,0.8044598303707723,0.2512757303363427
4,MolGraph + LaPool+ attention,leave_drugs_out (test_set 1),0.7653003279126215,0.2289184128407689
4,MolGraph + LaPool+ attention,random,0.8594937514305653,0.3449927828694029
5,CNN,leave_drugs_out (test_set 1),0.7707880719562059,0.2517678532661251
5,CNN,random,0.848230495435923,0.3614071167924489
5,DeepDDI,leave_drugs_out (test_set 1),0.7739465758395712,0.247927120254849
5,DeepDDI,random,0.7837711315103008,0.2578289410825415
5,MolGraph + LaPool+ attention,leave_drugs_out (test_set 1),0.7689680920795592,0.2421829478615101
5,MolGraph + LaPool+ attention,random,0.8428246670399058,0.3619760196627757
6,CNN,leave_drugs_out (test_set 1),0.7860829881435581,0.2645545360029648
6,CNN,random,0.8645072095689641,0.3566999035389705
6,DeepDDI,leave_drugs_out (test_set 1),0.7701215979833865,0.2361419853437864
6,DeepDDI,random,0.7968062088412,0.2403583496553317
6,MolGraph + LaPool+ attention,leave_drugs_out (test_set 1),0.7874346600283161,0.2518052907017048
6,MolGraph + LaPool+ attention,random,0.8623362733519262,0.3589113445815848
7,CNN,leave_drugs_out (test_set 1),0.7882891783622257,0.2222557166705454
7,CNN,random,0.8618435298745013,0.3632261745001797
7,DeepDDI,leave_drugs_out (test_set 1),0.7772894464312797,0.21261962612922805
7,DeepDDI,random,0.7862042568570587,0.2378243686231858
7,MolGraph + LaPool+ attention,leave_drugs_out (test_set 1),0.7564837709116718,0.18719586300901533
7,MolGraph + LaPool+ attention,random,0.858646412130682,0.35728832059634463
8,CNN,leave_drugs_out (test_set 1),0.7889147655117107,0.21242097156751444
8,CNN,random,0.8599058331138085,0.3602801498267507
8,DeepDDI,leave_drugs_out (test_set 1),0.7848246452415757,0.20842291507396005
8,DeepDDI,random,0.7842167155288935,0.24419552414785198
8,MolGraph + LaPool+ attention,leave_drugs_out (test_set 1),0.7816636368438666,0.2032095676490392
8,MolGraph + LaPool+ attention,random,0.8476351826851494,0.33619611826119444
9,CNN,leave_drugs_out (test_set 1),0.7959456266611592,0.18513693321056945
9,CNN,random,0.8691371349033835,0.30508661155170685
9,DeepDDI,leave_drugs_out (test_set 1),0.7911978211582793,0.1815586209043828
9,DeepDDI,random,0.810436805365388,0.21190804251727952
9,MolGraph + LaPool+ attention,leave_drugs_out (test_set 1),0.7905546257870868,0.17778818720831055
9,MolGraph + LaPool+ attention,random,0.8658886418457369,0.30779350858936355
